"","municode","state","incumbent","vote_margin_pct","name","votes","party","cand_code","candidate_2000","win_2000"
"120",1074,"AC",1,NA,"ALUIZIO BEZERRA DE OLIVEIRA","11182","PMDB","1074-aluizio bezerra de oliveira",1,0
"121",1082,"AC",0,-3.78493102228511,"ANTONIO CRISTOVAO CORREIA DE MESSIAS","1360","PPB","1082-antonio cristovao correia de messias",0,0
"122",1082,"AC",1,3.78493102228511,"RUI MATOS SAID MAIA","1467","PMDB","1082-rui matos said maia",1,0
"123",1090,"AC",0,-6.9423929098966,"LUIZ HELOSMAN DE FIGUEIREDO","1890","PPB","1090-luiz helosman de figueiredo",1,1
"124",1090,"AC",1,6.9423929098966,"PAULO LIMA DENE","2172","PMDB","1090-paulo lima dene",1,0
"125",1104,"AC",0,-5.54675118858954,"SEBASTIAO LIMA DE ARAGAO","298","PFL","1104-sebastiao lima de aragao",0,0
"126",1104,"AC",1,5.54675118858954,"ESPERIDIAO MENEZES JUNIOR","333","PMDB","1104-esperidiao menezes junior",0,0
"127",1112,"AC",0,-16.8157975933354,"JOAO SEBASTIAO FLORES DA SILVA","1348","PFL","1112-joao sebastiao flores da silva",1,1
"128",1112,"AC",1,16.8157975933354,"LUIZ BRANDAO HASSEM","1893","PPB","1112-luiz brandao hassem",1,0
"129",1120,"AC",0,-10.721123165284,"FERNANDO JOSE DA COSTA","1399","PPB","1120-fernando jose da costa",0,0
"130",1120,"AC",1,10.721123165284,"PAULO CEZAR FERREIRA DE ARAUJO","1735","PFL","1120-paulo cezar ferreira de araujo",0,0
"131",1139,"AC",0,-8.8966588966589,"FRANCIMAR FERNANDES DE ALBUQUERQUE","2345","PT","1139-francimar fernandes de albuquerque",1,1
"132",1139,"AC",1,8.8966588966589,"ROMILDO MAGALHAES DA SILVA","2803","PPB","1139-romildo magalhaes da silva",0,0
"133",1392,"AC",0,-4.16782118777131,"MARCOS AFONSO PONTES DE SOUZA","41503","PT","1392-marcos afonso pontes de souza",0,0
"134",1392,"AC",1,4.16782118777131,"MAURI SERGIO MOURA DE OLIVEIRA","45113","PMDB","1392-mauri sergio moura de oliveira",0,0
"135",1457,"AC",0,-7.10848842487517,"NORMANDO RODRIGUES SALES","5116","PMDB","1457-normando rodrigues sales",0,0
"136",1457,"AC",1,7.10848842487517,"ANTONIA FRANCA DE OLIVEIRA","5899","PFL","1457-antonia franca de oliveira",0,0
"137",1473,"AC",0,-21.2389380530973,"JOSE MOURAO FILHO","2492","PFL","1473-jose mourao filho",0,0
"138",1473,"AC",1,21.2389380530973,"JASONE FERREIRA DA SILVA","3836","PT","1473-jasone ferreira da silva",0,0
"139",1490,"AC",0,-11.1245100994875,"SEBASTIAO MELO FRANCISCO","1474","PFL","1490-sebastiao melo francisco",0,0
"140",1490,"AC",1,11.1245100994875,"JULIO BARBOSA DE AQUINO","1843","PT","1490-julio barbosa de aquino",1,1
"141",1511,"AC",0,-29.8573536645352,"SEBASTIAO MACHADO OLIVEIRA","2139","PT","1511-sebastiao machado oliveira",0,0
"142",1511,"AC",1,29.8573536645352,"LUIZ PEREIRA DE LIMA","3960","PFL","1511-luiz pereira de lima",1,0
"143",1538,"AC",0,-11.3718411552347,"AUDEMIRA ARAUJO CHAVES","2455","PFL","1538-audemira araujo chaves",0,0
"144",1538,"AC",1,11.3718411552347,"MANOEL GOMES SOCORRO DA SILVA","3085","PMN","1538-manoel gomes socorro da silva",1,1
"145",1554,"AC",0,-0.606796116504854,"FRANCISCO SEBASTIAO MENDES","819","PFL","1554-francisco sebastiao mendes",0,0
"146",1554,"AC",1,0.606796116504854,"JORGE ALMEIDA DA SILVA","829","PT","1554-jorge almeida da silva",1,1
"147",1570,"AC",0,-7.02479338842975,"MANOEL BATISTA DE ARAUJO","675","PT","1570-manoel batista de araujo",1,1
"148",1570,"AC",1,7.02479338842975,"JOSE MONTEIRO DA SILVA","777","PPB","1570-jose monteiro da silva",0,0
"149",2003,"AM",0,-3.56536502546689,"VITOR CESAR CATUZZO MARMENTINI","1704","PL","2003-vitor cesar catuzzo marmentini",0,0
"150",2003,"AM",1,3.56536502546689,"JOAO ALVES TORRES NETTO","1830","PPB","2003-joao alves torres netto",0,0
"151",2011,"AM",0,-5.19843487982113,"ANTONIO MARIA MARTINS DA SILVA","1696","PMDB","2011-antonio maria martins da silva",0,0
